98027	42	80000	Ajenstat
98201	30	30000	Harnpadoungsataya
94109	33	88360	Raheem
98256	38	55000	Seamans
98104	39	22880	Evans
98104	41	55000	Moreland
98055	45	38000	Kurjan
98006	33	39520	Walton
98104	26	25896	Masters
98011	48	20800	Newman
98006	27	20800	Nayberg
98014	46	22880	Hall
98272	32	13520	Lawrence
98272	32	15080	Lawrence
98272	32	19760	Lawrence
98104	42	19760	Reátegui Alayo
98004	30	29120	Smith
98020	31	22880	Scardelis
98256	63	19240	Berry
98074	45	31200	Cornelsen
98272	33	29120	Hines
98055	28	22000	Berglund
98201	40	19760	Selikoff
98019	37	20800	Steele
98011	31	27976	Hill
98027	30	57000	Bacon
98201	28	20800	McKay
98074	35	19760	Osada
98011	58	52000	D'Hers
98020	43	22880	Patten
98020	28	25896	Simon
98020	29	31200	Nay
98020	26	31200	Rothkugel
98020	31	25896	Shoop
98296	33	19760	Young
98251	41	29000	Culbertson
98052	43	90000	Tamburello
98201	36	31200	Myer
98272	34	52000	Richins
98104	34	52000	Diaz
98004	27	29120	Singh
98296	28	29120	Fakhouri
98052	28	19760	Koch
98052	28	15080	Koch
98052	28	13520	Koch
98011	33	18720	Ralls
98104	32	20800	Koenigsbauer
98104	47	25896	Khanna
98052	44	38000	Miller
98004	51	38000	Hee
98104	30	52000	D'sa
98020	29	31200	Mares
98104	30	31200	Nartker
98201	61	27976	Ellerbrock
98055	32	18720	Bischoff
98055	46	19240	Macrae
98272	44	25896	Baker
98004	43	48000	Campbell
98201	33	33280	LaMee
98104	31	27976	Baker
98052	42	105000	Trenary
98251	47	19240	Coleman
98052	66	100050	Jiang
98020	46	31200	Frintu
98074	31	13520	Ingle
98074	31	15080	Ingle
98074	31	19760	Ingle
98052	28	22880	Entin
84407	37	48000	Mitchell
98028	33	33280	Brewer
98011	41	45000	Wu
98055	46	50000	Altman
98019	31	22880	Samant
98296	28	31200	Northup
98104	61	52000	Campbell
98020	26	22880	Barbariol
98055	39	18720	Eaton
98020	35	19760	Vanderhyde
98004	46	38000	Hagens
98020	62	25896	Dusza
98104	43	29120	Sacksteder
98006	33	38000	Luthra
98052	37	52000	Kane
98004	31	27976	Wedge
98014	40	13520	Li
98014	40	15080	Li
98014	40	19760	Li
98256	41	39520	Spoon
98296	61	27976	Johnson
98256	42	21320	Berge
98004	40	25896	Laszlo
98201	38	30000	Williams
98104	31	31200	Holliday
98296	39	22880	Ciccu
98020	39	22880	Fatima
98004	30	22880	Moschell
98004	37	31200	Mohamed
98027	27	35000	Kharatishvili
98201	40	52000	Hay
98052	28	52000	Galvin
